Title,Distributor,ReleaseDateUS,Budget,OpeningWeekendNorthAmerica,NorthAmerica,OtherTerritories,Worldwide
Captain America: Civil War,Walt Disney Studios Motion Pictures,5/6/2016,250000000,179139142,408084349,745220146,1153304495
X-Men: Apocalypse,20th Century Fox,5/27/2016,178000000,65769562,155442489,388491616,543934105
Doctor Strange,Walt Disney Studios Motion Pictures,11/4/2016,165000000,85058311,232641920,445076475,677718395
Logan,20th Century Fox,3/3/2017,97000000,88411916,226277068,390518532,616795600
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,5/5/2017,200000000,146510104,389813101,473942950,863756051
Spider-Man: Homecoming,Sony Pictures,7/7/2017,175000000,117027503,334201140,545965784,880166924
Inhumans,IMAX Entertainment,9/1/2017,0,1500000,1521787,1330495,2852282
Thor: Ragnarok,Walt Disney Studios Motion Pictures,11/3/2017,180000000,122744989,315058289,538918837,853977126
Black Panther,Walt Disney Studios Motion Pictures,2/16/2018,200000000,202003951,700059566,646853595,1346913161
Avengers: Infinity War,Walt Disney Studios Motion Pictures,4/27/2018,316000000,257698183,678815482,1369544272,2048359754
Deadpool 2,20th Century Fox,5/18/2018,110000000,125507153,324591735,460455185,785046920
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,7/6/2018,162000000,75812205,216648740,406025399,622674139
Venom,Sony Pictures,10/5/2018,100000000,80255756,213515506,641498448,855013954
Spider-Man: Into the Spider-Verse,Sony Pictures,12/14/2018,90000000,35363376,190241310,185299521,375540831
Captain Marvel,Walt Disney Studios Motion Pictures,3/8/2019,152000000,153433423,426829839,701444955,1128274794
Avengers: Endgame,Walt Disney Studios Motion Pictures,4/26/2019,356000000,357115007,858373000,1937901401,2797800564
Dark Phoenix,20th Century Fox,6/7/2019,200000000,32828348,65845974,186597000,252442974
Spider-Man: Far From Home,Sony Pictures,7/2/2019,160000000,92579212,390532085,741395911,1131927996
The New Mutants,20th Century Studios,8/28/2020,67000000,7037017,23855569,24819497,48675066
Black Widow,Walt Disney Studios Motion Pictures,7/9/2021,200000000,80366312,183651665,195979696,379631351
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,9/3/2021,150000000,75388688,224543292,207700000,432243292
Venom: Let There Be Carnage,Sony Pictures,10/1/2021,110000000,90033210,213550366,288500000,502050366
Eternals,Walt Disney Studios Motion Pictures,11/5/2021,200000000,85021497,164870234,237194665,402064899
Spider-Man: No Way Home,Sony Pictures,12/17/2021,200000000,260138569,780418859,1072000000,1852418859
