Name,Lat,Long,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Morocco,32,-5,Eastern Mediterranean,1151081,3118.568,9373,25.394,0,15698,42.53,183,0.496,0
Cuba,21.5,-80,Americas,1057797,9339.038,8391,74.082,1870,8454,74.638,34,0.3,4
Bulgaria,43,25,Europe,1025129,14746.913,44727,643.417,6278,34228,492.384,640,9.207,76
Croatia,45.1667,15.5,Europe,1004804,24760.058,41434,1021.003,6341,14329,353.091,340,8.378,48
Lebanon,33.8333,35.8333,Eastern Mediterranean,993095,14549.894,44367,650.024,0,9769,143.126,112,1.641,0
Norway,62,10,Europe,982643,18307.002,132710,2472.436,20974,1513,28.188,47,0.876,1
Nepal,28,84,South-East Asia,972141,3336.47,8022,27.532,666,11878,40.766,84,0.288,14
Tunisia,34,9,Eastern Mediterranean,954726,8078.152,24636,208.451,0,26889,227.514,393,3.325,0
Bolivia,-17,-65,Americas,878922,7529.516,15247,130.617,1783,21219,181.778,174,1.491,20
Mongolia,46,105,Western Pacific,875440,26704.166,20361,621.086,10876,2065,62.99,20,0.61,3
United Arab Emirates,24,54,Eastern Mediterranean,864102,8736.773,12565,127.042,1588,2278,23.032,25,0.253,5
Slovenia,46,15,Europe,828508,39530.675,64832,3093.335,12126,6522,311.185,44,2.099,1
Belarus,53,28,Europe,805651,8526.02,52156,551.955,8463,6204,65.656,105,1.111,14
Lithuania,56,24,Europe,797492,28542.101,70323,2516.848,9940,8062,288.538,110,3.937,16
Ecuador,-2,-77.5,Americas,781470,4429.335,42173,239.035,3871,34854,197.551,282,1.598,50
Uruguay,-33,-56,Americas,749554,21577.785,59058,1700.132,8100,6696,192.761,156,4.491,20
Costa Rica,10,-84,Americas,745949,14643.34,37389,733.964,6105,7730,151.744,125,2.454,18
Panama,9,-80,Americas,735235,17039.97,23544,545.661,3028,7898,183.046,125,2.897,12
Azerbaijan,40.5,47.5,Europe,725777,7158.146,49351,486.736,7632,8972,88.488,175,1.726,24
Saudi Arabia,25,45,Eastern Mediterranean,722002,2073.892,22933,65.873,2866,8965,25.751,18,0.052,3
Guatemala,15.5,-90.25,Americas,720802,4023.328,22417,125.126,4720,16542,92.333,121,0.675,15
Sri Lanka,7,81,South-East Asia,624545,2916.629,8643,40.363,0,15723,73.427,179,0.836,0
Paraguay,-23,-58,Americas,615911,8635.229,21481,301.169,3018,17751,248.874,325,4.557,47
Kuwait,29.3375,47.6581,Eastern Mediterranean,593889,13906.548,29154,682.672,3324,2517,58.938,14,0.328,3
Finland,64,26,Europe,569973,10315.708,35625,644.762,2829,2170,39.274,2,0.036,0
Dominican Republic,19,-70.6667,Americas,567085,5227.597,8149,75.12,1223,4339,39.998,24,0.221,3
Myanmar,22,98,South-East Asia,541904,995.968,4681,8.603,0,19310,35.49,0,0,0
Venezuela (Bolivarian Republic of),8,-66,Americas,500545,1760.255,11240,39.527,1008,5511,19.38,49,0.172,7
Latvia,57,25,Europe,488329,25598.123,66096,3464.741,11599,4987,261.418,64,3.355,9
Republic of Moldova,47,29,Europe,480289,11906.133,19982,495.344,2870,10893,270.032,159,3.942,27
Ethiopia,8,38,Africa,467153,406.349,1027,0.893,152,7407,6.443,54,0.047,10
Puerto Rico,18.25,-66.5,Americas,466878,16319.538,5868,205.114,1069,3994,139.609,86,3.006,10
Libya,25,17,Eastern Mediterranean,463321,6742.851,21362,310.888,3773,6107,88.877,63,0.917,11
Egypt,27,30,Eastern Mediterranean,446308,436.127,13547,13.238,0,23110,22.583,330,0.322,0
